Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	5	1	2	1	Human	0, 1	"{""0"": [""places that serve christmas food""], ""1"": [""place that serves christmas food""]}"
2	2	3	6	2	1	Agent	5, 6	"{""5"": [""number is 01223244149""], ""6"": [""number is 01223244149""]}"
3	3	1	9	10	1	Human	4, 5, 6, 9, 13	"{""4"": [""number""], ""5"": [""number""], ""6"": [""number""], ""9"": [""number""], ""13"": [""number""]}"
4	4	2	6	6	1	Agent	5, 6, 9, 10	"{""5"": [""yu garden""], ""6"": [""yu garden""], ""9"": [""yu garden""], ""10"": [""yu garden""]}"
2	2	2	9	2	1	Human	8, 9	"{""8"": [""boat attraction""], ""9"": [""boat attraction""]}"
2	2	2	7	2	1	Human	6, 7	"{""6"": [""chinese attractions""], ""7"": [""chinese attractions""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""chinese food""], ""3"": [""chinese food""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""phone number""], ""5"": [""phone number""]}"
4	1	1	7	4	1	Human	6, 7, 8, 9	"{""6"": [""attractions""], ""7"": [""attraction"", ""attractions""], ""8"": [""attraction""], ""9"": [""attraction""]}"
4	1	1	1	4	1	Human	0, 1, 2, 3	"{""0"": [""food""], ""1"": [""food""], ""2"": [""food""], ""3"": [""food""]}"
3	3	1	11	4	1	Human	10, 11, 13	"{""10"": [""taxi""], ""11"": [""taxi""], ""13"": [""taxi""]}"
2	2	1	6	4	1	Agent	3, 6	"{""3"": [""area""], ""6"": [""area""]}"
2	2	1	10	2	1	Agent	9, 10	"{""9"": [""camboats""], ""10"": [""camboats""]}"
