Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	5	5	2	1	Human	4, 5	"{""4"": [""marriot for 4 people""], ""5"": [""marriot for 4 people""]}"
4	4	2	1	14	1	Human	0, 1, 3, 13	"{""0"": [""four star""], ""1"": [""4 star""], ""3"": [""four star""], ""13"": [""4 star""]}"
3	3	2	10	12	1	Agent	1, 10, 12	"{""1"": [""price range""], ""10"": [""price range""], ""12"": [""price range""]}"
9	9	1	7	13	1	Agent	1, 2, 7, 8, 11, 13	"{""1"": [""hotels"", ""hotel""], ""2"": [""hotel""], ""7"": [""hotels"", ""hotel""], ""8"": [""hotel""], ""11"": [""hotel""], ""13"": [""hotel""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""5 nights""], ""5"": [""5 nights""]}"
2	2	2	1	2	1	Human	0, 1	"{""0"": [""free parking""], ""1"": [""free parking""]}"
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""town""], ""2"": [""town""]}"
2	2	2	13	8	1	Human	6, 13	"{""6"": [""reference number""], ""13"": [""reference number""]}"
5	5	1	5	4	1	Human	6, 7	"{""6"": [""booking""], ""7"": [""booking""]}"
3	1	1	4	3	1	Agent	3, 4, 5	"{""3"": [""marriot""], ""4"": [""marriot""], ""5"": [""marriot""]}"
2	2	1	11	2	1	Human	10, 11	"{""10"": [""marriott""], ""11"": [""marriott""]}"
2	2	1	13	14	1	Human	0, 13	"{""0"": [""room""], ""13"": [""room""]}"
2	2	1	5	2	1	Human	4, 5	"{""4"": [""wednesday""], ""5"": [""wednesday""]}"
