Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	1	1	2	1	Human	0, 1	"{""0"": [""centre""], ""1"": [""center""]}"
3	3	1	9	6	1	Human	8, 9, 11, 12, 13	"{""8"": [""train""], ""9"": [""train""], ""11"": [""trains""], ""12"": [""train""], ""13"": [""train""]}"
2	2	2	7	2	1	Human	6, 7	"{""6"": [""phone number""], ""7"": [""phone number""]}"
2	2	2	6	6	1	Agent	1, 6	"{""1"": [""price range""], ""6"": [""price range""]}"
2	2	2	13	2	1	Human	12, 13	"{""12"": [""train id""], ""13"": [""train id""]}"
3	3	1	12	5	1	Agent	9, 12	"{""9"": [""arrival""], ""12"": [""arrival""]}"
3	3	1	1	3	1	Human	0, 1, 2	"{""0"": [""place""], ""1"": [""places""], ""2"": [""place""]}"
3	3	1	3	6	1	Human	2, 3, 7	"{""2"": [""star""], ""3"": [""star""], ""7"": [""stars""]}"
2	2	1	7	6	1	Human	2, 7	"{""2"": [""guesthouse""], ""7"": [""guesthouse""]}"
2	2	1	7	2	1	Human	6, 7	"{""6"": [""parking""], ""7"": [""parking""]}"
2	1	1	6	6	1	Agent	1, 6	"{""1"": [""range"", ""ranging""], ""6"": [""range""]}"
2	2	1	7	8	1	Human	0, 7	"{""0"": [""wifi""], ""7"": [""wifi""]}"
