Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	14	2	1	Agent	13, 14	"{""13"": [""same price range""], ""14"": [""same price range""]}"
2	2	3	11	2	1	Human	9, 10, 11	"{""9"": [""allenbell""], ""10"": [""allenbell""], ""11"": [""allenbell""]}"
2	2	3	5	4	1	Human	2, 5	"{""2"": [""bed and breakfast""], ""5"": [""bed and breakfast""]}"
2	2	3	1	2	1	Human	0, 1, 5	"{""0"": [""place""], ""1"": [""places""], ""5"": [""places""]}"
2	2	3	6	2	1	Agent	5, 6	"{""5"": [""another type""], ""6"": [""another type""]}"
4	2	2	14	12	3	Agent	3, 7, 13, 14	"{""3"": [""price range""], ""7"": [""price range""], ""13"": [""price range""], ""14"": [""price range""]}"
2	2	1	17	4	1	Human	14, 17	"{""14"": [""glad""], ""17"": [""glad""]}"
5	1	1	14	12	4	Agent	3, 5, 7, 13, 14	"{""3"": [""price""], ""5"": [""price""], ""7"": [""price""], ""13"": [""price""], ""14"": [""price""]}"
3	3	1	15	4	2	Human	12, 14, 15	"{""12"": [""number""], ""14"": [""number""], ""15"": [""number""]}"
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""recommendation""], ""2"": [""recommendation""]}"
2	2	1	7	4	1	Human	4, 7	"{""4"": [""wifi""], ""7"": [""wifi""]}"
