Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	11	7	1	Human	6, 11, 12	"{""6"": [""room""], ""11"": [""room""], ""12"": [""room""]}"
2	2	2	1	2	1	Human	0, 1, 2, 5	"{""0"": [""train""], ""1"": [""train""], ""2"": [""trains""], ""5"": [""train""]}"
3	3	2	7	5	1	Human	6, 7, 10	"{""6"": [""free parking""], ""7"": [""free parking""], ""10"": [""free parking""]}"
4	4	1	7	6	1	Human	6, 7, 11	"{""6"": [""guesthouse""], ""7"": [""guesthouses""], ""11"": [""guesthouses"", ""guesthouse""]}"
4	1	1	11	6	1	Human	6, 7, 10, 11	"{""6"": [""parking""], ""7"": [""parking""], ""10"": [""parking""], ""11"": [""parking""]}"
4	4	1	10	5	2	Agent	7, 9, 10	"{""7"": [""price""], ""9"": [""price""], ""10"": [""pricing""]}"
3	3	1	10	4	2	Agent	7, 9, 10	"{""7"": [""range""], ""9"": [""range""], ""10"": [""range""]}"
3	3	1	1	13	1	Human	0, 1, 12	"{""0"": [""thursday""], ""1"": [""thursday""], ""12"": [""thursday""]}"
2	2	1	3	2	1	Human	2, 3	"{""2"": [""broxbourne""], ""3"": [""broxbourne""]}"
2	2	1	10	2	1	Agent	9, 10	"{""9"": [""wifi""], ""10"": [""wifi""]}"
