Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	2	17	12	2	Human	6, 14, 17	"{""6"": [""free wifi""], ""14"": [""free wifi""], ""17"": [""free wifi""]}"
2	2	2	15	14	1	Human	2, 15	"{""2"": [""7 people""], ""15"": [""seven people""]}"
2	2	2	15	4	1	Human	12, 15	"{""12"": [""3 nights""], ""15"": [""three nights""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""cocum restaurant""], ""3"": [""cocum restaurant""]}"
4	4	2	10	13	1	Agent	3, 10, 13, 15	"{""3"": [""reference number""], ""10"": [""reference number""], ""13"": [""reference number""], ""15"": [""reference number""]}"
2	2	1	16	2	1	Agent	15, 16	"{""15"": [""able""], ""16"": [""able""]}"
2	2	1	12	2	1	Agent	11, 12	"{""11"": [""people""], ""12"": [""people""]}"
3	3	1	3	14	1	Human	2, 3, 15	"{""2"": [""monday""], ""3"": [""monday""], ""15"": [""monday""]}"
5	1	1	11	13	1	Agent	3, 10, 11, 13, 15	"{""3"": [""number""], ""10"": [""number""], ""11"": [""number""], ""13"": [""number""], ""15"": [""number""]}"
5	3	1	3	14	2	Human	0, 2, 3, 5, 13	"{""0"": [""restaurant""], ""2"": [""restaurant""], ""3"": [""restaurant""], ""5"": [""restaurant""], ""13"": [""restaurant""]}"
3	1	1	12	5	1	Agent	11, 12, 15	"{""11"": [""nights""], ""12"": [""nights""], ""15"": [""nights""]}"
2	2	1	12	2	1	Agent	11, 12	"{""11"": [""day""], ""12"": [""day""]}"
