Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	2	1	8	1	Human	0, 1, 7	"{""0"": [""3 star""], ""1"": [""3 star""], ""7"": [""3 star""]}"
2	2	2	6	4	1	Agent	3, 6	"{""3"": [""price range""], ""6"": [""price range""]}"
2	2	2	13	6	1	Human	8, 13	"{""8"": [""reference number""], ""13"": [""reference number""]}"
5	5	1	12	7	3	Agent	9, 12	"{""9"": [""booking""], ""12"": [""booking""]}"
3	3	1	5	12	1	Human	4, 5, 15	"{""4"": [""cambridge""], ""5"": [""cambridge""], ""15"": [""cambridge""]}"
3	3	1	3	6	1	Human	2, 3, 7	"{""2"": [""guesthouse""], ""3"": [""guesthouses""], ""7"": [""guesthouse""]}"
3	3	1	1	7	1	Human	0, 1, 6	"{""0"": [""hotel""], ""1"": [""hotel""], ""6"": [""hotels""]}"
3	1	1	13	6	2	Human	8, 12, 13	"{""8"": [""number""], ""12"": [""number""], ""13"": [""number""]}"
2	2	1	10	2	1	Agent	9, 10	"{""9"": [""people""], ""10"": [""people""]}"
2	2	1	7	4	1	Human	4, 7	"{""4"": [""west""], ""7"": [""west""]}"
