Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	4	5	4	2	Human	2, 4, 5	"{""2"": [""east part of town""], ""4"": [""east part of town""], ""5"": [""east part of town""]}"
4	1	3	5	6	3	Human	0, 2, 4, 5	"{""0"": [""part of town""], ""2"": [""part of town""], ""4"": [""part of town""], ""5"": [""part of town""]}"
3	3	1	1	4	1	Human	0, 1, 3	"{""0"": [""restaurant""], ""1"": [""restaurants""], ""3"": [""restaurant""]}"
5	1	1	1	6	1	Human	0, 1, 2, 4, 5	"{""0"": [""town""], ""1"": [""town""], ""2"": [""town""], ""4"": [""town""], ""5"": [""town""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""chinese food""], ""5"": [""chinese food""]}"
2	2	2	7	2	1	Human	6, 7	"{""6"": [""phone number""], ""7"": [""phone number""]}"
2	2	1	7	2	1	Human	6, 7	"{""6"": [""address""], ""7"": [""address""]}"
4	2	1	3	4	1	Human	2, 3, 4, 5	"{""2"": [""food""], ""3"": [""food""], ""4"": [""food""], ""5"": [""food""]}"
2	2	1	8	4	1	Agent	5, 8	"{""5"": [""information""], ""8"": [""information""]}"
2	2	1	7	2	1	Human	6, 7	"{""6"": [""postcode""], ""7"": [""postcode""]}"
2	2	1	1	2	1	Human	0, 1	"{""0"": [""range""], ""1"": [""range""]}"
