Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	2	4	4	1	Agent	3, 4, 6	"{""3"": [""hamilton lodge""], ""4"": [""hamilton lodge""], ""6"": [""hamilton lodge""]}"
2	2	3	2	2	1	Agent	1, 2	"{""1"": [""part of town""], ""2"": [""part of town""]}"
4	1	1	9	7	1	Agent	3, 4, 6, 9	"{""3"": [""hamilton""], ""4"": [""hamilton""], ""6"": [""hamilton""], ""9"": [""hamilton""]}"
3	1	1	3	3	1	Agent	1, 2, 3	"{""1"": [""town""], ""2"": [""town""], ""3"": [""town""]}"
2	2	2	2	2	1	Agent	1, 2	"{""1"": [""price range""], ""2"": [""price range""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""three star""], ""3"": [""3 star""]}"
3	1	1	3	3	1	Agent	1, 2	"{""1"": [""price""], ""2"": [""price""]}"
2	2	1	3	4	1	Human	0, 3	"{""0"": [""guesthouse""], ""3"": [""guesthouse""]}"
2	2	1	8	2	1	Agent	7, 8	"{""7"": [""night""], ""8"": [""nights""]}"
2	2	1	8	2	1	Agent	7, 8	"{""7"": [""people""], ""8"": [""people""]}"
