Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	2	13	4	1	Human	10, 13	"{""10"": [""west side""], ""13"": [""west side""]}"
2	2	2	13	2	1	Human	12, 13	"{""12"": [""top""], ""13"": [""top""]}"
2	2	2	13	6	1	Human	8, 13	"{""8"": [""phone number""], ""13"": [""phone number""]}"
3	3	1	11	3	1	Human	10, 11, 12	"{""10"": [""information""], ""11"": [""info""], ""12"": [""information""]}"
5	5	1	6	8	3	Agent	1, 3, 5, 6, 8	"{""1"": [""time""], ""3"": [""time""], ""5"": [""time""], ""6"": [""time""], ""8"": [""time""]}"
4	4	1	3	10	1	Human	0, 3, 8, 9	"{""0"": [""train""], ""3"": [""trains""], ""8"": [""train""], ""9"": [""train"", ""train""]}"
3	3	1	13	6	2	Human	8, 10, 13	"{""8"": [""college""], ""10"": [""college""], ""13"": [""college""]}"
2	2	1	9	8	1	Human	2, 9	"{""2"": [""cambridge""], ""9"": [""cambridge""]}"
2	2	1	8	8	1	Agent	1, 8	"{""1"": [""departure""], ""8"": [""departure""]}"
2	2	1	9	8	1	Human	2, 9	"{""2"": [""leicester""], ""9"": [""leicester""]}"
