Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	5	9	2	1	Human	8, 9	"{""8"": [""7 people""], ""9"": [""7 people""]}"
2	2	3	7	8	1	Human	0, 7	"{""0"": [""room""], ""7"": [""room""]}"
3	3	1	7	4	2	Human	4, 6, 7	"{""4"": [""north""], ""6"": [""north""], ""7"": [""north""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""phone number""], ""5"": [""phone number""]}"
3	3	1	5	4	2	Human	2, 4, 5	"{""2"": [""area""], ""4"": [""area""], ""5"": [""area""]}"
3	1	1	11	8	1	Human	4, 5, 11	"{""4"": [""number""], ""5"": [""number""], ""11"": [""number""]}"
3	3	1	5	3	1	Human	4, 5, 6	"{""4"": [""place""], ""5"": [""place""], ""6"": [""place""]}"
3	3	1	3	4	1	Human	2, 3, 5	"{""2"": [""pools"", ""pool""], ""3"": [""pools""], ""5"": [""pools""]}"
2	2	1	11	4	1	Human	8, 11	"{""8"": [""sunday""], ""11"": [""sunday""]}"
2	2	1	3	2	1	Human	2, 3	"{""2"": [""town""], ""3"": [""town""]}"
