Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
4	4	1	13	10	1	Human	12, 13, 17, 21	"{""12"": [""north""], ""13"": [""north""], ""17"": [""north""], ""21"": [""north""]}"
5	5	1	1	10	1	Human	0, 1, 2, 3, 9	"{""0"": [""centre""], ""1"": [""centre""], ""2"": [""centre""], ""3"": [""center""], ""9"": [""centre""]}"
4	4	2	11	14	1	Human	10, 11, 22, 23	"{""10"": [""phone number""], ""11"": [""phone number""], ""22"": [""phone number""], ""23"": [""phone number""]}"
4	4	2	12	8	1	Agent	7, 12, 13, 14	"{""7"": [""price range""], ""12"": [""price range""], ""13"": [""price range""], ""14"": [""price range""]}"
2	2	2	21	6	1	Human	16, 21	"{""16"": [""4 star""], ""21"": [""4 star""]}"
4	4	1	16	4	1	Agent	15, 18	"{""15"": [""preference""], ""18"": [""preference""]}"
4	4	1	1	13	1	Human	0, 1, 2, 12	"{""0"": [""restaurant""], ""1"": [""restaurants""], ""2"": [""restaurant""], ""12"": [""restaurant""]}"
3	1	1	16	7	1	Agent	15, 16, 21	"{""15"": [""star""], ""16"": [""star""], ""21"": [""star""]}"
2	2	1	20	8	1	Agent	13, 20	"{""13"": [""area""], ""20"": [""area""]}"
2	2	1	24	20	1	Agent	5, 24	"{""5"": [""day""], ""24"": [""day""]}"
2	2	1	22	6	1	Agent	17, 22	"{""17"": [""hotel""], ""22"": [""hotel""]}"
2	2	1	21	6	1	Human	16, 21	"{""16"": [""parking""], ""21"": [""parking""]}"
2	2	1	15	4	1	Human	12, 15	"{""12"": [""place""], ""15"": [""places""]}"
2	2	1	24	20	1	Agent	5, 24	"{""5"": [""time""], ""24"": [""time""]}"
