Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	5	6	2	Human	0, 2, 5	"{""0"": [""moderate price range""], ""2"": [""moderate price range""], ""5"": [""moderate price range""]}"
3	3	2	12	8	2	Agent	5, 7, 12	"{""5"": [""ashley hotel""], ""7"": [""ashley hotel""], ""12"": [""ashley hotel""]}"
4	4	2	12	6	1	Agent	9, 12, 13, 14	"{""9"": [""broughton house""], ""12"": [""broughton house""], ""13"": [""broughton house""], ""14"": [""broughton house""]}"
7	7	1	3	15	2	Human	0, 2, 3, 4, 5, 7, 12, 14	"{""0"": [""hotel""], ""2"": [""hotel""], ""3"": [""hotels""], ""4"": [""hotel""], ""5"": [""hotel""], ""7"": [""hotel"", ""hotel""], ""12"": [""hotel""], ""14"": [""hotel""]}"
4	1	2	1	6	1	Human	0, 1, 2, 5	"{""0"": [""price range""], ""1"": [""price range""], ""2"": [""price range""], ""5"": [""price range""]}"
2	2	2	5	6	1	Human	0, 5	"{""0"": [""free parking""], ""5"": [""free parking""]}"
2	2	2	13	4	1	Human	10, 13	"{""10"": [""phone number""], ""13"": [""phone number""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""area""], ""4"": [""area""]}"
5	1	1	9	11	1	Human	4, 9, 12, 13, 14	"{""4"": [""house""], ""9"": [""house""], ""12"": [""house""], ""13"": [""house""], ""14"": [""house""]}"
4	2	1	11	6	1	Human	10, 11, 13, 15	"{""10"": [""number""], ""11"": [""number""], ""13"": [""number""], ""15"": [""number""]}"
3	3	1	11	4	1	Human	10, 11, 13	"{""10"": [""fee""], ""11"": [""fee""], ""13"": [""fee""]}"
2	2	1	7	2	1	Human	6, 7	"{""6"": [""star""], ""7"": [""star""]}"
