Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	4	3	1	Agent	3, 4, 5, 6	"{""3"": [""booking a table""], ""4"": [""table""], ""5"": [""table""], ""6"": [""table""]}"
2	2	3	9	8	1	Human	2, 9	"{""2"": [""expensive price range""], ""9"": [""expensive price range""]}"
3	3	1	1	10	1	Human	0, 1, 9	"{""0"": [""centre""], ""1"": [""centre""], ""9"": [""centre""]}"
3	3	1	8	9	1	Agent	1, 8, 9	"{""1"": [""restaurant""], ""8"": [""restaurant""], ""9"": [""restaurant""]}"
2	2	3	11	6	1	Human	6, 11	"{""6"": [""table for 7""], ""11"": [""table for 7""]}"
3	1	2	9	8	2	Human	2, 8, 9	"{""2"": [""price range""], ""8"": [""price range""], ""9"": [""price range""]}"
3	3	1	10	6	2	Agent	5, 7, 10	"{""5"": [""time""], ""7"": [""time""], ""10"": [""time""]}"
2	2	1	11	6	1	Human	6, 11	"{""6"": [""monday""], ""11"": [""monday""]}"
2	2	2	11	6	1	Human	6, 11	"{""6"": [""reference number""], ""11"": [""reference number""]}"
3	1	1	6	11	1	Agent	1, 6, 11	"{""1"": [""number""], ""6"": [""number""], ""11"": [""number""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""area""], ""9"": [""area""]}"
2	2	1	11	2	1	Human	10, 11	"{""10"": [""people""], ""11"": [""people""]}"
