Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""stick""], ""2"": [""stick""]}"
4	4	3	9	9	2	Human	2, 6, 9, 10	"{""2"": [""moderate price range""], ""6"": [""moderate price range""], ""9"": [""moderate price range""], ""10"": [""moderate price range""]}"
7	7	1	6	8	1	Agent	5, 6, 7, 8, 9, 10, 12	"{""5"": [""hotels""], ""6"": [""hotel""], ""7"": [""hotels""], ""8"": [""hotel""], ""9"": [""hotels""], ""10"": [""hotel""], ""12"": [""hotel""]}"
5	5	2	5	15	1	Human	0, 5, 9, 10, 14	"{""0"": [""free parking""], ""5"": [""free parking""], ""9"": [""free parking""], ""10"": [""free parking""], ""14"": [""free parking""]}"
6	2	2	5	13	1	Human	2, 6, 9, 10	"{""2"": [""moderate price""], ""6"": [""moderate price""], ""9"": [""moderate price""], ""10"": [""moderate price""]}"
6	2	2	2	10	1	Agent	1, 2, 5, 6, 9, 10	"{""1"": [""price range""], ""2"": [""price range""], ""5"": [""price range""], ""6"": [""price range""], ""9"": [""price range""], ""10"": [""price range""]}"
8	8	1	6	14	3	Agent	1, 3, 5, 6, 8, 11, 12, 14	"{""1"": [""area""], ""3"": [""area""], ""5"": [""area""], ""6"": [""area""], ""8"": [""areas""], ""11"": [""area""], ""12"": [""area""], ""14"": [""area""]}"
3	3	1	8	5	1	Agent	7, 8, 11	"{""7"": [""guesthouses""], ""8"": [""guesthouse""], ""11"": [""guesthouses""]}"
2	2	1	9	4	1	Human	6, 9	"{""6"": [""4-star""], ""9"": [""4-stars""]}"
2	2	1	18	2	1	Agent	17, 18	"{""17"": [""days"", ""day""], ""18"": [""days""]}"
2	2	1	1	2	1	Human	0, 1	"{""0"": [""place""], ""1"": [""places""]}"
2	2	1	5	2	1	Human	4, 5	"{""4"": [""town""], ""5"": [""town""]}"
