Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	4	4	2	1	Agent	3, 4	"{""3"": [""restaurants in the north""], ""4"": [""restaurants in the north""]}"
3	1	1	3	3	1	Human	2, 3, 4	"{""2"": [""north""], ""3"": [""north""], ""4"": [""north""]}"
2	2	1	11	6	1	Human	6, 11	"{""6"": [""table""], ""11"": [""table""]}"
3	3	2	6	2	1	Agent	5, 6	"{""5"": [""royal spice""], ""6"": [""royal spice""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""indian restaurants""], ""5"": [""indian restaurants""]}"
2	2	2	10	6	1	Agent	5, 10	"{""5"": [""price range""], ""10"": [""price range""]}"
4	4	1	1	10	1	Human	0, 1, 2, 3, 4, 5, 9	"{""0"": [""restaurant""], ""1"": [""restaurants""], ""2"": [""restaurant""], ""3"": [""restaurants""], ""4"": [""restaurants""], ""5"": [""restaurants""], ""9"": [""restaurant""]}"
3	3	1	9	4	2	Human	8, 9	"{""8"": [""booking""], ""9"": [""booking""]}"
3	3	1	1	4	1	Human	0, 1, 3	"{""0"": [""food""], ""1"": [""food""], ""3"": [""food""]}"
2	2	1	11	2	1	Human	10, 11	"{""10"": [""area""], ""11"": [""area""]}"
2	1	1	10	6	1	Agent	5, 10	"{""5"": [""range""], ""10"": [""range""]}"
