Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	12	10	2	Agent	3, 5, 12	"{""3"": [""cambridge arts theatre""], ""5"": [""cambridge arts theatre""], ""12"": [""cambridge arts theatre""]}"
4	1	2	4	10	1	Agent	3, 4, 5, 12	"{""3"": [""cambridge arts""], ""4"": [""cambridge arts""], ""5"": [""cambridge arts""], ""12"": [""cambridge arts""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""entrance fee""], ""5"": [""entrance fee""]}"
3	3	1	3	11	1	Human	2, 3, 5, 12	"{""2"": [""theatre""], ""3"": [""theatres"", ""theatre""], ""5"": [""theatre""], ""12"": [""theatre""]}"
4	1	1	4	10	1	Agent	3, 4, 5, 12	"{""3"": [""cambridge""], ""4"": [""cambridge""], ""5"": [""cambridge""], ""12"": [""cambridge""]}"
3	3	1	6	3	1	Agent	5, 6, 7	"{""5"": [""food""], ""6"": [""food""], ""7"": [""food""]}"
2	2	1	4	4	1	Agent	1, 4	"{""1"": [""area""], ""4"": [""area""]}"
2	2	1	13	10	1	Human	4, 13	"{""4"": [""number""], ""13"": [""number""]}"
2	2	1	5	2	1	Human	4, 5	"{""4"": [""phone""], ""5"": [""phone""]}"
2	2	1	1	2	1	Human	0, 1	"{""0"": [""town""], ""1"": [""town""]}"
2	2	1	12	4	1	Agent	9, 12	"{""9"": [""wagamama""], ""12"": [""wagamama""]}"
