Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	2	7	8	1	Human	6, 7, 12, 13	"{""6"": [""4 star""], ""7"": [""4 star""], ""12"": [""4 star""], ""13"": [""4 star""]}"
2	2	3	2	2	1	Agent	1, 2	"{""1"": [""area of town""], ""2"": [""area of town""]}"
2	2	3	13	2	1	Human	12, 13	"{""12"": [""4 star guesthouses""], ""13"": [""4 star guesthouse""]}"
3	3	2	8	3	1	Agent	7, 8, 9	"{""7"": [""5 star""], ""8"": [""5 star""], ""9"": [""5 stars""]}"
3	3	2	5	11	1	Human	4, 5, 14	"{""4"": [""free parking""], ""5"": [""free parking""], ""14"": [""free parking""]}"
3	3	2	15	16	2	Human	0, 14, 15	"{""0"": [""free wifi""], ""14"": [""free wifi""], ""15"": [""free wifi""]}"
3	1	1	3	3	1	Agent	1, 2, 3	"{""1"": [""town""], ""2"": [""town""], ""3"": [""town""]}"
2	2	2	10	4	1	Agent	7, 10	"{""7"": [""2 stars""], ""10"": [""two star""]}"
8	2	1	7	8	1	Human	6, 7, 8, 9, 10, 11, 12, 13	"{""6"": [""star""], ""7"": [""star"", ""stars""], ""8"": [""star""], ""9"": [""stars""], ""10"": [""star""], ""11"": [""star""], ""12"": [""star""], ""13"": [""star""]}"
7	7	1	1	17	1	Human	0, 1, 3, 5, 7, 11, 16	"{""0"": [""hotel""], ""1"": [""hotels""], ""3"": [""hotels""], ""5"": [""hotel""], ""7"": [""hotels"", ""hotel""], ""11"": [""hotel""], ""16"": [""hotel""]}"
4	1	1	15	12	1	Human	4, 5, 14, 15	"{""4"": [""parking""], ""5"": [""parking""], ""14"": [""parking""], ""15"": [""parking""]}"
