Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	5	2	1	Human	4, 5	"{""4"": [""center of town""], ""5"": [""center of town""]}"
3	3	1	4	9	2	Agent	1, 3, 4, 5, 9	"{""1"": [""centre""], ""3"": [""centre""], ""4"": [""center""], ""5"": [""center""], ""9"": [""centre""]}"
3	3	2	11	3	1	Human	10, 11, 12	"{""10"": [""entrance fee""], ""11"": [""entrance fee""], ""12"": [""entrance fee""]}"
3	3	2	6	11	1	Agent	1, 6, 11	"{""1"": [""phone number""], ""6"": [""phone number""], ""11"": [""phone number""]}"
5	5	1	5	9	1	Human	4, 5, 6, 12	"{""4"": [""college""], ""5"": [""college"", ""colleges""], ""6"": [""college""], ""12"": [""college""]}"
3	3	2	11	12	2	Human	0, 8, 11	"{""0"": [""little seoul""], ""8"": [""little seoul""], ""11"": [""little seoul""]}"
3	3	2	3	10	1	Human	2, 3, 11	"{""2"": [""price range""], ""3"": [""price range""], ""11"": [""price range""]}"
2	2	1	3	2	1	Human	2, 3	"{""2"": [""area""], ""3"": [""area""]}"
4	1	1	10	11	1	Agent	1, 6, 10, 11	"{""1"": [""number""], ""6"": [""number""], ""10"": [""number""], ""11"": [""number""]}"
3	3	1	11	12	2	Human	0, 8, 11	"{""0"": [""restaurant""], ""8"": [""restaurant""], ""11"": [""restaurant""]}"
