Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	4	5	2	1	Human	4, 5	"{""4"": [""college in the centre""], ""5"": [""colleges in the centre""]}"
3	3	1	13	6	1	Human	10, 13, 15	"{""10"": [""train""], ""13"": [""train""], ""15"": [""train""]}"
2	2	2	6	2	1	Agent	5, 6	"{""5"": [""entrance fee""], ""6"": [""entrance fee""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""address""], ""9"": [""address""]}"
4	2	1	5	6	2	Human	2, 4, 5, 7	"{""2"": [""college""], ""4"": [""college""], ""5"": [""colleges""], ""7"": [""college""]}"
3	1	1	7	4	1	Human	4, 5, 7	"{""4"": [""centre""], ""5"": [""centre""], ""7"": [""center""]}"
3	1	1	15	11	1	Agent	5, 6, 15	"{""5"": [""fee""], ""6"": [""fee""], ""15"": [""fee""]}"
3	3	1	13	4	2	Human	10, 12, 13	"{""10"": [""peterborough""], ""12"": [""peterborough""], ""13"": [""peterborough""]}"
2	2	1	3	2	1	Human	2, 3	"{""2"": [""area""], ""3"": [""area""]}"
2	2	1	13	14	1	Human	0, 13	"{""0"": [""cambridge""], ""13"": [""cambridge""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""phone""], ""9"": [""phone""]}"
