Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
4	4	1	1	8	1	Human	0, 1, 4, 7	"{""0"": [""places""], ""1"": [""place""], ""4"": [""place""], ""7"": [""places""]}"
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""attraction""], ""2"": [""attraction""]}"
3	3	1	9	4	2	Human	6, 8, 9	"{""6"": [""guesthouse""], ""8"": [""guesthouse""], ""9"": [""guesthouse""]}"
3	3	1	9	10	1	Human	2, 9, 11	"{""2"": [""north""], ""9"": [""north""], ""11"": [""North""]}"
3	3	1	4	4	1	Agent	3, 4, 6	"{""3"": [""park""], ""4"": [""parking""], ""6"": [""parking""]}"
3	3	1	3	10	1	Human	2, 3, 11	"{""2"": [""postcode""], ""3"": [""postcode""], ""11"": [""postcode""]}"
2	2	1	10	6	1	Agent	5, 10	"{""5"": [""hotel""], ""10"": [""hotel""]}"
2	2	1	13	2	1	Human	12, 13	"{""12"": [""rating""], ""13"": [""rated""]}"
2	2	1	13	2	1	Human	12, 13	"{""12"": [""star""], ""13"": [""stars""]}"
2	2	1	1	2	1	Human	0, 1	"{""0"": [""town""], ""1"": [""town""]}"
