Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	6	4	1	Agent	3, 6	"{""3"": [""hotel or guesthouse""], ""6"": [""hotel or guesthouse""]}"
2	2	2	2	2	1	Agent	1, 2	"{""1"": [""price range""], ""2"": [""price range""]}"
2	2	1	5	2	1	Human	4, 5	"{""4"": [""guesthouse""], ""5"": [""guesthouse""]}"
2	2	3	2	2	1	Agent	1, 2	"{""1"": [""area of town""], ""2"": [""area of town""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""whether""], ""4"": [""whether""]}"
3	3	1	3	7	1	Human	0, 3, 4, 5, 6	"{""0"": [""hotel""], ""3"": [""hotel""], ""4"": [""hotel""], ""5"": [""hotel""], ""6"": [""hotel""]}"
3	3	2	7	8	2	Human	0, 6, 7	"{""0"": [""4 star""], ""6"": [""four star""], ""7"": [""4 stars""]}"
2	2	2	4	2	1	Agent	3, 4	"{""3"": [""free parking""], ""4"": [""free parking""]}"
2	2	1	7	2	1	Human	6, 7	"{""6"": [""wifi""], ""7"": [""wifi""]}"
3	1	1	6	4	1	Agent	3, 4, 6	"{""3"": [""parking""], ""4"": [""parking""], ""6"": [""parking""]}"
3	1	1	7	7	1	Agent	1, 2	"{""1"": [""price""], ""2"": [""price""]}"
2	2	1	8	2	1	Agent	7, 8	"{""7"": [""nights""], ""8"": [""nights""]}"
2	2	1	8	2	1	Agent	7, 8	"{""7"": [""people""], ""8"": [""people""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""places""], ""4"": [""place""]}"
