Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	18	10	2	Agent	9, 15, 18	"{""9"": [""change the number""], ""15"": [""change the number""], ""18"": [""change the number""]}"
4	4	1	5	10	1	Human	4, 5, 12, 13	"{""4"": [""centre""], ""5"": [""centre""], ""12"": [""centre""], ""13"": [""centre""]}"
4	4	2	1	14	1	Human	0, 1, 5, 13	"{""0"": [""4 star""], ""1"": [""4 stars""], ""5"": [""4 star""], ""13"": [""4 star""]}"
2	2	1	4	16	1	Agent	3, 4, 9, 15, 18	"{""3"": [""change""], ""4"": [""change""], ""9"": [""change""], ""15"": [""change""], ""18"": [""change""]}"
5	5	1	13	12	2	Human	6, 8, 13, 14, 17	"{""6"": [""saturday""], ""8"": [""saturday""], ""13"": [""saturday""], ""14"": [""saturday""], ""17"": [""saturday""]}"
3	3	2	17	10	2	Human	8, 14, 17	"{""8"": [""3 nights""], ""14"": [""3 nights""], ""17"": [""3 night""]}"
6	6	1	2	14	1	Agent	1, 2, 3, 5, 13, 14	"{""1"": [""hotels""], ""2"": [""hotel""], ""3"": [""hotels""], ""5"": [""hotel"", ""hotel""], ""13"": [""hotel""], ""14"": [""hotel""]}"
4	4	1	10	9	1	Agent	9, 10, 15, 17	"{""9"": [""days""], ""10"": [""days""], ""15"": [""days""], ""17"": [""day""]}"
4	1	1	13	10	1	Human	8, 13, 14, 17	"{""8"": [""nights""], ""13"": [""nights""], ""14"": [""nights""], ""17"": [""night""]}"
4	1	1	19	11	2	Agent	9, 15, 18, 19	"{""9"": [""number""], ""15"": [""number""], ""18"": [""number""], ""19"": [""number""]}"
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""guesthouses""], ""2"": [""guesthouse""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""location""], ""4"": [""location""]}"
2	2	1	18	12	1	Agent	7, 18	"{""7"": [""party""], ""18"": [""party""]}"
2	2	1	18	2	1	Agent	17, 18	"{""17"": [""people""], ""18"": [""people""]}"
2	2	1	19	14	1	Human	6, 19	"{""6"": [""room""], ""19"": [""room""]}"
