Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	6	2	1	Agent	4, 5, 6	"{""4"": [""thursday""], ""5"": [""thursday""], ""6"": [""thursday""]}"
2	2	2	9	2	1	Human	8, 9	"{""8"": [""three nights""], ""9"": [""3 nights""]}"
2	2	3	9	2	1	Human	4, 8, 9	"{""4"": [""monday""], ""8"": [""monday""], ""9"": [""monday""]}"
2	2	2	9	4	1	Human	6, 9	"{""6"": [""reference number""], ""9"": [""reference number""]}"
2	2	2	13	2	1	Human	12, 13	"{""12"": [""phone number""], ""13"": [""phone number""]}"
2	2	2	11	2	1	Human	10, 11	"{""10"": [""vietnamese restaurant""], ""11"": [""vietnamese restaurant""]}"
4	4	1	8	9	2	Agent	1, 5, 8, 9	"{""1"": [""hotel""], ""5"": [""hotel""], ""8"": [""hotel""], ""9"": [""hotel""]}"
3	3	1	11	12	2	Human	0, 8, 11	"{""0"": [""centre""], ""8"": [""centre""], ""11"": [""centre""]}"
3	1	1	8	7	1	Agent	3, 8, 9	"{""3"": [""nights""], ""8"": [""nights""], ""9"": [""nights""]}"
2	2	1	14	10	1	Agent	5, 14	"{""5"": [""evening""], ""14"": [""evening""]}"
2	2	1	9	6	1	Human	4, 9	"{""4"": [""wife""], ""9"": [""wife""]}"
