Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	7	1	2	1	Human	0, 1	"{""0"": [""restaurant in the south part of town""], ""1"": [""restaurants in the south part of town""]}"
4	2	4	3	12	1	Human	0, 1, 3, 11	"{""0"": [""south part of town""], ""1"": [""south part of town""], ""3"": [""south part of town""], ""11"": [""south part of town""]}"
3	1	4	7	8	1	Human	0, 1, 7	"{""0"": [""restaurant in the south""], ""1"": [""restaurants in the south""], ""7"": [""restaurant in the south""]}"
2	2	4	8	2	1	Agent	7, 8	"{""7"": [""pizza hut cherry hinton""], ""8"": [""pizza hut cherry hinton""]}"
2	2	3	4	4	1	Agent	1, 4	"{""1"": [""kind of food""], ""4"": [""kind of food""]}"
4	2	2	8	7	2	Agent	3, 7, 8, 9	"{""3"": [""cherry hinton""], ""7"": [""cherry hinton""], ""8"": [""cherry hinton""], ""9"": [""cherry hinton""]}"
4	4	2	6	5	2	Agent	3, 5, 6, 7	"{""3"": [""chiquito restaurant""], ""5"": [""chiquito restaurant""], ""6"": [""chiquito restaurant""], ""7"": [""chiquito restaurant""]}"
2	2	2	3	4	1	Human	0, 3	"{""0"": [""phone number""], ""3"": [""phone number""]}"
4	4	1	3	10	1	Human	0, 3, 8, 9	"{""0"": [""address""], ""3"": [""address""], ""8"": [""address""], ""9"": [""address""]}"
3	1	1	5	5	1	Agent	1, 4, 5	"{""1"": [""food""], ""4"": [""food""], ""5"": [""food""]}"
