Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	4	14	2	1	Agent	13, 14	"{""13"": [""another area""], ""14"": [""another area""]}"
6	6	1	5	12	1	Human	4, 5, 6, 7, 11, 12, 15	"{""4"": [""hotel""], ""5"": [""hotels""], ""6"": [""hotel""], ""7"": [""hotel""], ""11"": [""hotel""], ""12"": [""hotel""], ""15"": [""hotel""]}"
3	3	2	3	5	1	Human	2, 3, 6	"{""2"": [""free parking""], ""3"": [""free parking""], ""6"": [""free parking""]}"
4	4	2	2	12	1	Agent	1, 2, 3, 12	"{""1"": [""price range""], ""2"": [""price range""], ""3"": [""price range""], ""12"": [""price range""]}"
3	3	2	18	3	1	Agent	17, 18, 19	"{""17"": [""reference number""], ""18"": [""reference number""], ""19"": [""reference number""]}"
2	2	2	12	2	1	Agent	11, 12	"{""11"": [""another hotel""], ""12"": [""another hotel""]}"
4	1	1	18	11	2	Agent	9, 17, 18, 19	"{""9"": [""number""], ""17"": [""number""], ""18"": [""number""], ""19"": [""number""]}"
3	2	1	14	3	1	Agent	13, 14, 15	"{""13"": [""area""], ""14"": [""area""], ""15"": [""area""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""guesthouses""], ""4"": [""guesthouse""]}"
2	2	1	10	2	1	Agent	9, 10	"{""9"": [""people""], ""10"": [""people""]}"
