Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	3	5	3	1	Human	4, 5, 6	"{""4"": [""moderate price range""], ""5"": [""moderate price range""], ""6"": [""moderate price range""]}"
5	5	1	7	8	1	Agent	3, 4, 6, 7, 9, 10	"{""3"": [""hotels""], ""4"": [""hotel""], ""6"": [""hotel""], ""7"": [""hotel""], ""9"": [""hotel"", ""hotel""], ""10"": [""hotels""]}"
3	3	1	5	8	1	Human	4, 5	"{""4"": [""west""], ""5"": [""west""]}"
2	2	3	6	4	1	Agent	3, 6	"{""3"": [""hotels with free""], ""6"": [""hotel with free""]}"
2	2	2	12	2	1	Agent	11, 12	"{""11"": [""hobsons house""], ""12"": [""hobsons house""]}"
5	5	2	3	10	1	Human	2, 3, 6, 7, 11	"{""2"": [""free parking""], ""3"": [""free parking""], ""6"": [""free parking""], ""7"": [""free parking""], ""11"": [""free parking""]}"
2	2	2	3	4	1	Human	0, 3	"{""0"": [""free wifi""], ""3"": [""free wifi""]}"
6	4	2	4	10	2	Agent	1, 3, 4, 5, 6, 10	"{""1"": [""price range""], ""3"": [""price range""], ""4"": [""price range""], ""5"": [""price range""], ""6"": [""price range""], ""10"": [""price range""]}"
4	4	2	6	7	1	Agent	5, 6, 7, 11	"{""5"": [""3 stars""], ""6"": [""3 star""], ""7"": [""3 star""], ""11"": [""3 star""]}"
2	2	2	13	6	1	Human	8, 13	"{""8"": [""reference number""], ""13"": [""reference number""]}"
5	1	1	5	10	1	Human	2, 5, 6, 7, 11	"{""2"": [""star""], ""5"": [""stars""], ""6"": [""star""], ""7"": [""star""], ""11"": [""star""]}"
3	3	1	1	6	1	Human	0, 1, 5	"{""0"": [""place""], ""1"": [""places""], ""5"": [""places""]}"
