Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	4	7	2	1	Human	6, 7	"{""6"": [""address of the hospital""], ""7"": [""address of the hospital""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""phone number""], ""5"": [""phone number""]}"
2	2	2	9	4	1	Human	6, 9	"{""6"": [""full address""], ""9"": [""full address""]}"
2	2	1	4	9	1	Agent	1, 4, 5, 9	"{""1"": [""number""], ""4"": [""number""], ""5"": [""number""], ""9"": [""number""]}"
6	4	1	3	10	1	Human	0, 3, 5, 6, 7, 9	"{""0"": [""hospital""], ""3"": [""hospital""], ""5"": [""hospital""], ""6"": [""hospital""], ""7"": [""hospital""], ""9"": [""hospital""]}"
4	1	1	7	8	2	Human	2, 6, 7, 9	"{""2"": [""address""], ""6"": [""address""], ""7"": [""address""], ""9"": [""address""]}"
4	4	1	3	10	1	Human	0, 3, 8, 9	"{""0"": [""cambridge""], ""3"": [""cambridge""], ""8"": [""cambridge""], ""9"": [""cambridge""]}"
3	3	1	10	3	1	Agent	10, 11	"{""10"": [""help""], ""11"": [""help""]}"
2	2	1	1	2	1	Human	0, 1	"{""0"": [""department""], ""1"": [""department""]}"
2	2	1	8	2	1	Agent	7, 8	"{""7"": [""tr6247""], ""8"": [""tr6247""]}"
