Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	7	2	1	Human	6, 7	"{""6"": [""table for 6""], ""7"": [""table for 6""]}"
3	3	1	5	7	1	Human	4, 5, 10	"{""4"": [""North""], ""5"": [""north""], ""10"": [""north""]}"
3	3	1	14	11	1	Agent	7, 14, 17	"{""7"": [""able""], ""14"": [""able""], ""17"": [""able""]}"
3	3	1	7	7	1	Human	6, 7, 12	"{""6"": [""wednesday""], ""7"": [""wednesday""], ""12"": [""wednesday""]}"
2	2	1	17	4	1	Human	14, 17	"{""14"": [""taxi""], ""17"": [""taxi""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""expensive chinese""], ""3"": [""expensive chinese""]}"
2	2	1	2	2	1	Agent	1, 2	"{""1"": [""food""], ""2"": [""food""]}"
2	2	1	6	2	1	Agent	5, 6	"{""5"": [""hakka""], ""6"": [""hakka""]}"
2	2	1	12	2	1	Agent	11, 12	"{""11"": [""lodge""], ""12"": [""lodge""]}"
2	2	1	19	8	1	Human	12, 19	"{""12"": [""nights""], ""19"": [""night""]}"
2	2	1	16	14	1	Agent	3, 16	"{""3"": [""restaurants""], ""16"": [""restaurant""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""star""], ""9"": [""star""]}"
2	2	1	16	2	1	Agent	15, 16	"{""15"": [""time""], ""16"": [""time""]}"
