Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
3	3	6	13	9	1	Human	10, 13, 18	"{""10"": [""four star hotels in the west""], ""13"": [""4 star hotels in the west""], ""18"": [""4 star hotel in the west""]}"
5	2	4	13	13	3	Human	6, 10, 12, 13, 18	"{""6"": [""hotel in the west""], ""10"": [""hotels in the west""], ""12"": [""hotel in the west""], ""13"": [""hotels in the west""], ""18"": [""hotel in the west""]}"
2	2	1	23	2	1	Human	22, 23	"{""22"": [""day""], ""23"": [""day""]}"
4	4	1	13	21	5	Human	4, 6, 10, 12, 13, 18, 20	"{""4"": [""west""], ""6"": [""West""], ""10"": [""west""], ""12"": [""West""], ""13"": [""west""], ""18"": [""west""], ""20"": [""west""]}"
4	1	3	16	9	1	Human	10, 13, 16, 18	"{""10"": [""four star hotels""], ""13"": [""4 star hotels""], ""16"": [""4 star hotel""], ""18"": [""4 star hotel""]}"
4	1	2	10	16	1	Agent	3, 10, 13, 18	"{""3"": [""star hotels""], ""10"": [""star hotels""], ""13"": [""star hotels""], ""18"": [""star hotel""]}"
4	4	2	8	13	1	Agent	1, 8, 11, 13	"{""1"": [""cambridge belfry""], ""8"": [""cambridge belfry""], ""11"": [""cambridge belfry""], ""13"": [""cambridge belfry""]}"
2	2	3	16	14	1	Agent	3, 16	"{""3"": [""part of town""], ""16"": [""part of town""]}"
7	3	2	13	17	3	Human	4, 10, 12, 13, 16, 18, 20	"{""4"": [""4 star""], ""10"": [""four star""], ""12"": [""four stars""], ""13"": [""4 star""], ""16"": [""4 star""], ""18"": [""4 star""], ""20"": [""4 stars""]}"
11	11	1	3	23	1	Human	0, 3, 4, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 20, 21, 22	"{""0"": [""hotel""], ""3"": [""hotels""], ""4"": [""hotel""], ""5"": [""hotels""], ""6"": [""hotel""], ""7"": [""hotels""], ""10"": [""hotels""], ""11"": [""hotel""], ""12"": [""hotel""], ""13"": [""hotels"", ""hotel""], ""16"": [""hotel""], ""17"": [""hotels""], ""18"": [""hotel""], ""20"": [""hotel""], ""21"": [""hotel""], ""22"": [""hotels""]}"
3	1	1	3	17	1	Human	0, 3, 16	"{""0"": [""town""], ""3"": [""town""], ""16"": [""town""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""1 star""], ""3"": [""1 star""]}"
10	1	1	14	19	1	Human	2, 3, 4, 10, 12, 13, 14, 16, 18, 20	"{""2"": [""star""], ""3"": [""star""], ""4"": [""star""], ""10"": [""star""], ""12"": [""stars""], ""13"": [""star""], ""14"": [""star""], ""16"": [""star""], ""18"": [""star""], ""20"": [""stars""]}"
3	3	1	15	14	2	Human	2, 14, 15	"{""2"": [""rating""], ""14"": [""rating""], ""15"": [""rating""]}"
