Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
4	4	1	10	3	1	Agent	9, 10, 11	"{""9"": [""cinemas""], ""10"": [""cinema""], ""11"": [""cinema""]}"
2	2	2	11	2	1	Human	10, 11	"{""10"": [""phone number""], ""11"": [""phone number""]}"
2	2	2	5	2	1	Human	4, 5	"{""4"": [""reference number""], ""5"": [""reference number""]}"
2	2	1	3	4	1	Human	0, 3	"{""0"": [""train""], ""3"": [""trains""]}"
5	5	1	2	5	1	Agent	3, 4	"{""3"": [""arrivals""], ""4"": [""arrival""]}"
4	4	1	9	4	1	Human	8, 9, 10, 11	"{""8"": [""attractions""], ""9"": [""attraction""], ""10"": [""attraction""], ""11"": [""attraction""]}"
3	3	1	13	8	2	Human	6, 8, 13	"{""6"": [""centre""], ""8"": [""centre""], ""13"": [""centre""]}"
3	3	1	10	7	1	Agent	5, 10, 11	"{""5"": [""fee""], ""10"": [""fee""], ""11"": [""fee""]}"
3	3	1	10	3	1	Agent	9, 10, 11	"{""9"": [""type""], ""10"": [""type""], ""11"": [""type""]}"
2	2	1	13	12	1	Human	2, 13	"{""2"": [""cambridge""], ""13"": [""cambridge""]}"
2	2	1	11	6	1	Human	6, 11	"{""6"": [""information""], ""11"": [""information""]}"
2	2	1	4	2	1	Agent	3, 4	"{""3"": [""ticket""], ""4"": [""ticket""]}"
