Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	11	10	1	Human	2, 11	"{""2"": [""centre of town""], ""11"": [""centre of town""]}"
3	3	1	17	14	2	Human	4, 14, 17	"{""4"": [""ely""], ""14"": [""ely""], ""17"": [""ely""]}"
2	2	1	17	2	1	Human	16, 17	"{""16"": [""thursday""], ""17"": [""thursday""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""address""], ""9"": [""address""]}"
2	2	1	11	2	1	Human	10, 11	"{""10"": [""postcode""], ""11"": [""postcode""]}"
2	2	1	21	2	1	Human	20, 21	"{""20"": [""ticket""], ""21"": [""ticket""]}"
5	5	1	17	24	2	Human	0, 14, 17, 19, 23	"{""0"": [""cambridge""], ""14"": [""cambridge""], ""17"": [""cambridge""], ""19"": [""cambridge""], ""23"": [""cambridge""]}"
4	2	1	11	22	2	Human	2, 10, 11, 23	"{""2"": [""centre""], ""10"": [""centre""], ""11"": [""centre""], ""23"": [""centre""]}"
4	4	1	17	16	2	Human	4, 12, 17, 19	"{""4"": [""train""], ""12"": [""train""], ""17"": [""trains""], ""19"": [""trains""]}"
3	3	1	6	7	1	Agent	5, 6, 11	"{""5"": [""architecture""], ""6"": [""architecture""], ""11"": [""architecture""]}"
3	3	1	3	9	1	Human	2, 3, 10	"{""2"": [""places""], ""3"": [""places""], ""10"": [""place""]}"
3	1	1	11	10	2	Human	2, 10, 11	"{""2"": [""town""], ""10"": [""town""], ""11"": [""town""]}"
2	2	1	20	4	1	Agent	17, 20	"{""17"": [""time""], ""20"": [""time""]}"
2	2	1	21	22	1	Human	0, 21	"{""0"": [""trip""], ""21"": [""trip""]}"
2	2	1	23	20	1	Human	4, 23	"{""4"": [""using""], ""23"": [""using""]}"
