Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	7	2	1	Human	6, 7	"{""6"": [""centre of town""], ""7"": [""center of town""]}"
3	3	2	15	8	2	Human	8, 14, 15	"{""8"": [""2 nights""], ""14"": [""2 nights""], ""15"": [""two nights""]}"
3	1	1	6	5	1	Agent	3, 6, 7	"{""3"": [""centre""], ""6"": [""centre""], ""7"": [""center""]}"
3	3	3	7	6	1	Human	4, 7, 9	"{""4"": [""2 star hotel""], ""7"": [""2 star hotels""], ""9"": [""2 star hotels""]}"
2	2	2	17	2	1	Human	16, 17	"{""16"": [""reference number""], ""17"": [""reference number""]}"
4	1	2	11	8	1	Human	4, 7, 9, 11	"{""4"": [""2 star""], ""7"": [""2 star""], ""9"": [""2 star""], ""11"": [""2 stars""]}"
3	2	1	7	6	1	Human	6, 7, 11	"{""6"": [""town""], ""7"": [""town""], ""11"": [""town""]}"
7	4	1	1	12	1	Human	0, 1, 4, 6, 7, 9, 11	"{""0"": [""hotels""], ""1"": [""hotel's""], ""4"": [""hotel""], ""6"": [""hotel""], ""7"": [""hotels""], ""9"": [""hotels""], ""11"": [""hotel""]}"
6	2	1	5	8	1	Human	4, 5, 6, 7, 9, 11	"{""4"": [""star""], ""5"": [""stars""], ""6"": [""star""], ""7"": [""star""], ""9"": [""star""], ""11"": [""stars""]}"
5	2	1	15	14	4	Human	2, 8, 12, 14, 15	"{""2"": [""night""], ""8"": [""nights""], ""12"": [""nights""], ""14"": [""nights""], ""15"": [""nights""]}"
3	3	1	18	3	1	Agent	17, 18, 19	"{""17"": [""help""], ""18"": [""help""], ""19"": [""help""]}"
3	3	1	11	12	2	Human	0, 6, 11	"{""0"": [""parking""], ""6"": [""parking""], ""11"": [""parking""]}"
2	2	1	17	2	1	Human	16, 17	"{""16"": [""address""], ""17"": [""address""]}"
2	2	1	13	14	1	Human	0, 13	"{""0"": [""rooms""], ""13"": [""rooms""]}"
