Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	7	1	2	1	Human	0, 1	"{""0"": [""hotel in the north part of town""], ""1"": [""hotels in the north part of town""]}"
2	2	1	13	4	1	Human	10, 13	"{""10"": [""hear""], ""13"": [""hear""]}"
2	2	2	9	2	1	Human	8, 9	"{""8"": [""3 nights""], ""9"": [""3 nights""]}"
2	2	3	9	2	1	Human	8, 9	"{""8"": [""reservation for 3""], ""9"": [""reservations for 3""]}"
2	2	2	11	2	1	Human	10, 11	"{""10"": [""reference number""], ""11"": [""reference number""]}"
3	1	1	3	4	1	Human	0, 1, 3	"{""0"": [""hotel""], ""1"": [""hotels""], ""3"": [""hotels""]}"
3	1	1	10	9	1	Agent	3, 10, 11	"{""3"": [""number""], ""10"": [""number""], ""11"": [""number""]}"
3	3	1	3	3	1	Human	2, 3, 4	"{""2"": [""stars""], ""3"": [""star""], ""4"": [""star""]}"
2	2	1	11	12	1	Human	0, 11	"{""0"": [""help""], ""11"": [""help""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""sunday""], ""9"": [""sunday""]}"
